公开(公告)号,标题,摘要,当前申请(专利权)人地市,当前申请(专利权)人州/省,当前申请(专利权)人,原始申请(专利权)人,申请日,IPC主分类号(小组),IPC主分类号(小组)释义,被引用专利,引用专利,5年内被引用数量,3年内被引用数量,Patsnap同族专利申请数量,专利类型,许可人,被许可人,法律状态/事件,当前申请(专利权)人区县,预估到期日,受理局,摘要(译)(简体中文),标题(译)(简体中文),IPC主分类号(大组)释义,IPC主分类号(大组),IPC主分类号(小类),IPC主分类号(小类)释义,授权日
CN121598663A,一种基于机器学习的机器人下肢结构轻量化快速预测方法,本发明涉及一种基于机器学习的机器人下肢结构轻量化快速预测方法，属于人形机器人轻量化设计技术领域。该方法通过有限元分析生成可靠训练数据集，结合机器学习算法进行训练，从而实现人形机器人零部件结构在保证使用强度的条件下的结构轻量化程度快速预测，提升人形机器人构型结构轻量化迭代效率。,北京,北京,中国北方车辆研究所,中国北方车辆研究所,2025-09-29,G06F30/23,.. 使用有限元方法（FEM）或有限差方法(FDM)[2020.01],-,CN117610380A | CN117610381A | CN118551501A | CN119476032A | CN119691926A,0,0,1,发明申请,-,-,实质审查,丰台区,-,中国,本发明涉及一种基于机器学习的机器人下肢结构轻量化快速预测方法，属于人形机器人轻量化设计技术领域。该方法通过有限元分析生成可靠训练数据集，结合机器学习算法进行训练，从而实现人形机器人零部件结构在保证使用强度的条件下的结构轻量化程度快速预测，提升人形机器人构型结构轻量化迭代效率。,一种基于机器学习的机器人下肢结构轻量化快速预测方法,计算机辅助设计（CAD） [2020.01],G06F30,G06F,电数字数据处理（基于特定计算模型的计算机系统入 G06N） [2006.01],-
CN221737980U,一种下肢组件及人形机器人,本实用新型涉及机器人技术领域，具体涉及一种下肢组件及人形机器人，下肢组件包括：腹板与足部结构件连接；第一摇臂与第一动力结构连接，第一动力结构带动第一摇臂摇摆；第二摇臂与第二动力结构连接，第二动力结构带动第二摇臂摇摆；第一杆件与第一摇臂连接；第一杆件与足部结构件上靠近脚跟一侧连接；第二杆件与第二摇臂连接；第二杆件与足部结构件上靠近脚跟另一侧连接；在第一摇臂与第二摇臂摇摆方向相同时，足部结构件进行俯仰运动；在第一摇臂与第二摇臂摇摆方向相反时，足部结构件进行侧摆运动；本申请通过控制第一摇臂与第二摇臂摇摆方向相同或相反，实现足部结构件进行俯仰运动或侧摆运动；灵活实现拟人化；结构简单可靠，成本更低。,深圳,广东,乐聚智能(深圳)股份有限公司,乐聚(深圳)机器人技术有限公司,2024-03-04,B62D57/032,..带交替升起或顺序升起的支承座或支腿；带交替或顺序升起的支腿或滑道（B62D57/024优先）[2006.01],-,-,0,0,1,实用新型,-,-,授权,龙华区,2034-03-04,中国,本实用新型涉及机器人技术领域，具体涉及一种下肢组件及人形机器人，下肢组件包括：腹板与足部结构件连接；第一摇臂与第一动力结构连接，第一动力结构带动第一摇臂摇摆；第二摇臂与第二动力结构连接，第二动力结构带动第二摇臂摇摆；第一杆件与第一摇臂连接；第一杆件与足部结构件上靠近脚跟一侧连接；第二杆件与第二摇臂连接；第二杆件与足部结构件上靠近脚跟另一侧连接；在第一摇臂与第二摇臂摇摆方向相同时，足部结构件进行俯仰运动；在第一摇臂与第二摇臂摇摆方向相反时，足部结构件进行侧摆运动；本申请通过控制第一摇臂与第二摇臂摇摆方向相同或相反，实现足部结构件进行俯仰运动或侧摆运动；灵活实现拟人化；结构简单可靠，成本更低。,一种下肢组件及人形机器人,仅以具有除车轮或履带以外的其他推进装置或接地装置为特征的车辆，或者以车轮或履带加上具有除车轮或履带以外的其他推进装置为特征的车辆（雪橇入B62B；机动雪橇入B62M）[2006.01],B62D57,B62D,机动车；挂车（农用机械或机具的转向机构或在所要求轨道上的引导装置入A01B69/00；车轮，脚轮，车轴，提高车轮的附着力入B60B；车用轮胎，轮胎充气或轮胎的更换入B60C；拖有挂车的牵引车或类似车辆之间的连接入B60D；轨道和道路两用车辆，两栖或可转换的车辆入B60F；悬架装置的配置入B60G；加热、冷却、通风或其他空气处理设备入B60H；车窗，挡风玻璃，非固定车顶，门或类似装置，车辆不用时的护套入B60J；动力装置的布置，辅助驱动装置，传动装置，控制机构，仪表或仪表板入B60K；电动车辆的电力装备或动力装置入B60L；电动车辆的电源线入B60M；其他类目不包含的乘客用设备入B60N；适用于货运或装载特殊货物或物体的入B60P；用于一般车辆信号或照明装置的布置，其安装或支承或者其电路入B60Q；其他类目不包含的车辆，车辆配件或车辆部件入B60R；其他类目不包含的保养，清洗，修理，支承，举升或调试入B60S；制动器布置，制动控制系统或其部件入B60T；气垫车入B60V；摩托车及其所用附件入B62J，B62K；车辆试验入G01M）,2024-09-20
CN120095860B,灵巧手及人形机器人,本申请提供一种灵巧手及人形机器人，灵巧手包括掌部结构及握持指部结构，握持指部结构包括关节组件、第一驱动组件、摆动组件、固定架以及辅助组件，固定架连接于掌部结构。摆动组件转动连接于掌部结构，摆动组件和固定架弹性连接，关节组件转动连接于摆动组件，且摆动组件的转轴和关节组件的转轴垂直。辅助组件被设置为可弹性伸缩，沿辅助组件的伸缩方向，辅助组件的一端通过万向结构连接于关节组件，另一端通过万向结构连接于第一驱动组件，第一驱动组件连接于固定架，第一驱动组件适于通过驱使辅助组件移动以驱使关节组件相对摆动组件转动。通过上述设置，可以增加灵巧手的柔性自适应性。,上海,上海,人形机器人(上海)有限公司,人形机器人(上海)有限公司,2025-05-09,B25J15/00,夹头[2006.01],-,CN103690280A | CN111098950A,0,0,1,授权发明,-,-,授权,浦东新区,2045-05-09,中国,本申请提供一种灵巧手及人形机器人，灵巧手包括掌部结构及握持指部结构，握持指部结构包括关节组件、第一驱动组件、摆动组件、固定架以及辅助组件，固定架连接于掌部结构。摆动组件转动连接于掌部结构，摆动组件和固定架弹性连接，关节组件转动连接于摆动组件，且摆动组件的转轴和关节组件的转轴垂直。辅助组件被设置为可弹性伸缩，沿辅助组件的伸缩方向，辅助组件的一端通过万向结构连接于关节组件，另一端通过万向结构连接于第一驱动组件，第一驱动组件连接于固定架，第一驱动组件适于通过驱使辅助组件移动以驱使关节组件相对摆动组件转动。通过上述设置，可以增加灵巧手的柔性自适应性。,灵巧手及人形机器人,夹头[2006.01],B25J15,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2025-07-25
CN121468516A,一种遥操作方法及机器人,本申请提供了一种遥操作方法及机器人，方法包括：接收由惯性测量单元IMU系统发送的操作者姿态数据；根据所述操作者姿态数据，确定所述人形机器人的目标姿态数据，其中，所述目标姿态数据包括所述7自由度机械臂的末端目标位姿和目标臂角，所述臂角是所述7自由度机械臂的肩部、肘部和腕部所在的平面与基准平末端目标位姿和目标臂角面之间的二面角；根据所述目标姿态数据，确定所述人形机器人的各个关节的运动参数；根据所述运动参数，生成控制指令。通过上述方法，可以有效消除零空间运动的不确定性，使机器人运动更加拟人化。,宁波,浙江,浙江人形机器人创新中心有限公司,浙江人形机器人创新中心有限公司,2025-11-11,B25J9/16,.程序控制（全面生产控制，即集中控制多台机器入G05B19/418）[2006.01],-,-,0,0,1,发明申请,-,-,实质审查,海曙区,-,中国,本申请提供了一种遥操作方法及机器人，方法包括：接收由惯性测量单元IMU系统发送的操作者姿态数据；根据所述操作者姿态数据，确定所述人形机器人的目标姿态数据，其中，所述目标姿态数据包括所述7自由度机械臂的末端目标位姿和目标臂角，所述臂角是所述7自由度机械臂的肩部、肘部和腕部所在的平面与基准平末端目标位姿和目标臂角面之间的二面角；根据所述目标姿态数据，确定所述人形机器人的各个关节的运动参数；根据所述运动参数，生成控制指令。通过上述方法，可以有效消除零空间运动的不确定性，使机器人运动更加拟人化。,一种遥操作方法及机器人,程序控制机械手[2006.01],B25J9,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],-
CN120469570A,投影互动方法及系统,本发明涉及投影互动方法及系统，投影互动方法包括获取用户的输入信息；响应于所述输入信息，生成指令信息；响应于所述指令信息，调节人形机器人的手臂参数以及调整投影交互界面的投影参数。其优点在于，与现有的人形机器人的投影模块位于胸部、头部相比，灵活度更好、动作幅度更小，无需人形机器人进行移动、转向等即可完成投影交互界面的调整，提高互动效果。,上海,上海,迪恒技术股份有限公司,迪恒技术股份有限公司,2025-04-24,G06F3/01,. 用于用户和计算机之间交互的输入装置或输入和输出组合装置（G06F3/16优先）[2006.01],-,CN107584474A | CN108519717A | CN114157846A | CN116038731A,0,0,1,发明申请,-,-,实质审查,闵行区,-,中国,本发明涉及投影互动方法及系统，投影互动方法包括获取用户的输入信息；响应于所述输入信息，生成指令信息；响应于所述指令信息，调节人形机器人的手臂参数以及调整投影交互界面的投影参数。其优点在于，与现有的人形机器人的投影模块位于胸部、头部相比，灵活度更好、动作幅度更小，无需人形机器人进行移动、转向等即可完成投影交互界面的调整，提高互动效果。,投影互动方法及系统,用于将所要处理的数据转变成为计算机能够处理的形式的输入装置；用于将数据从处理机传送到输出设备的输出装置，例如，接口装置[2006.01],G06F3,G06F,电数字数据处理（基于特定计算模型的计算机系统入 G06N） [2006.01],-
CN223802618U,连接结构、机械手及人形机器人,本申请实施例提供一种连接结构、机械手及人形机器人，连接结构包括连接轴、轴承及锁紧结构，连接轴包括第一连接部及第二连接部，第二连接部的外壁设置有外螺纹，轴承套设于第二连接部。锁紧结构包括锁紧螺母、锁紧销以及锁紧垫，锁紧垫套设于第二连接部，锁紧螺母螺接于第二连接部，锁紧垫位于轴承和锁紧螺母之间。第二连接部设置有调节部，调节部活动连接于第二连接部，调节部和第二连接部之间连接有第一弹性件，调节部和锁紧螺母上均设置有连接位，锁紧销可通过连接位同时连接于锁紧螺母以及调节部。本申请的连接结构既能实现防松又能在目标锁止位置压紧用于连接外部零件的结构，增加连接的可靠性。,上海,上海,人形机器人(上海)有限公司,人形机器人(上海)有限公司,2025-03-14,B25J17/00,接头[2006.01],-,-,0,0,1,实用新型,-,-,授权,浦东新区,2035-03-14,中国,本申请实施例提供一种连接结构、机械手及人形机器人，连接结构包括连接轴、轴承及锁紧结构，连接轴包括第一连接部及第二连接部，第二连接部的外壁设置有外螺纹，轴承套设于第二连接部。锁紧结构包括锁紧螺母、锁紧销以及锁紧垫，锁紧垫套设于第二连接部，锁紧螺母螺接于第二连接部，锁紧垫位于轴承和锁紧螺母之间。第二连接部设置有调节部，调节部活动连接于第二连接部，调节部和第二连接部之间连接有第一弹性件，调节部和锁紧螺母上均设置有连接位，锁紧销可通过连接位同时连接于锁紧螺母以及调节部。本申请的连接结构既能实现防松又能在目标锁止位置压紧用于连接外部零件的结构，增加连接的可靠性。,连接结构、机械手及人形机器人,接头[2006.01],B25J17,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2026-01-16
TWM677250U,人形機器人,一種人形機器人，該人形機器人的軀幹元件、大腿骨元件及小腿骨元件上設置多個慣性測量單元，該腳底板總成包括有第一觸地元件、第二觸地元件、第三觸地元件、第四觸地元件，其依序透過該樞軸元件而串連相接，該第一觸地元件位於該軀幹元件的朝前方向，該第四觸地元件位於該軀幹元件的朝後方向，該第四觸地元件透過一樞軸元件而連接於該小腿骨元件的下側，該腳底板總成安裝有樞軸元件及壓力感測單元，透過多個慣性測量單元及多個壓力感測元件的偵測，該人形機器人可以進行ZMP零力矩點步態控制、MPC模型預測控制分析，來達到機器人自主檢測、重心平衡的目的。,-,-,黃奇卿,黃奇卿,2025-04-29,B25J11/00,不包含在其他组的机械手[2006.01],-,-,0,0,1,实用新型,-,-,授权,-,2035-04-28,中国台湾,"""一种人形机器人,该人形机器人的躯干元件、大腿骨元件及小腿骨元件上设置多个惯性测量单元,该脚底板总成包括有第一触地元件、第二触地元件、第三触地元件、第四触地元件,其依序透过该枢轴元件而串连相接,该第一触地元件位于该躯干元件的朝前方向,该第四触地元件位于该躯干元件的朝后方向,该第四触地元件透过一枢轴元件而连接于该小腿骨元件的下侧,该脚底板总成安装有枢轴元件及压力感测单元,透过多个惯性测量单元及多个压力感测元件的侦测,该人形机器人可以进行ZMP零力矩点步态控制、MPC模型预测控制分析,来达到机器人自主检测、重心平衡的目的。""",人形机器人,不包含在其他组的机械手[2006.01],B25J11,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2025-11-21
CN224074380U,灵巧手手指、灵巧手及人形机器人,本申请涉及机器人技术领域，尤其涉及一种灵巧手手指、灵巧手及人形机器人，包括预紧座及预紧组件，预紧座设于手掌上，预紧组件设于预紧座上；手指驱动机构活动设于预紧座上，预紧组件用于向手指驱动机构提供预紧力；手指模块沿手指驱动机构的活动方向连接于手指驱动机构上，且转动设于手掌上；手指驱动机构在驱动手指模块运动时，能够克服预紧组件的预紧力，在预紧座上移动，以为预紧组件充能。当手指模块紧握物体后，虽然手指模块被抓握的物体限位无法对其继续做功，但手指驱动机构也没有完全被堵转，手指驱动机构的驱动力能够克服预紧力，向预紧组件充能，从而避免手指驱动机构堵转导致系统发热严重、能耗高且存在过热损坏的问题。,上海,上海,人形机器人(上海)有限公司,人形机器人(上海)有限公司,2025-04-18,B25J15/00,夹头[2006.01],-,-,0,0,1,实用新型,-,-,授权,浦东新区,2035-04-18,中国,本申请涉及机器人技术领域，尤其涉及一种灵巧手手指、灵巧手及人形机器人，包括预紧座及预紧组件，预紧座设于手掌上，预紧组件设于预紧座上；手指驱动机构活动设于预紧座上，预紧组件用于向手指驱动机构提供预紧力；手指模块沿手指驱动机构的活动方向连接于手指驱动机构上，且转动设于手掌上；手指驱动机构在驱动手指模块运动时，能够克服预紧组件的预紧力，在预紧座上移动，以为预紧组件充能。当手指模块紧握物体后，虽然手指模块被抓握的物体限位无法对其继续做功，但手指驱动机构也没有完全被堵转，手指驱动机构的驱动力能够克服预紧力，向预紧组件充能，从而避免手指驱动机构堵转导致系统发热严重、能耗高且存在过热损坏的问题。,灵巧手手指、灵巧手及人形机器人,夹头[2006.01],B25J15,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2026-04-03
CN215322952U,腿部结构及人形机器人,本实用新型涉及人形机器人领域，提供一种腿部结构及人形机器人。腿部结构包括大腿结构件、脚板结构件、两个踝关节驱动器、小腿结构件和两个连动组件。两个踝关节驱动器对称地固定在大腿结构件的内侧，每个踝关节驱动器均具有朝外的输出端和朝内的尾端；小腿结构件的一端转动连接于两踝关节驱动器的尾端，小腿结构件的另一端万向转动连接于脚板结构件；两个连动组件分别活动连接于两踝关节驱动器的输出端与脚板结构件之间。腿部结构将参与构成踝关节的两个踝关节驱动器对称地固定在靠近膝关节而远离踝侧的大腿结构件内，基于此，可有效提高腿部结构的质心，有效降低腿部结构的转动惯量，可相应降低腿部结构的各关节部件的驱动器的力矩需求。,深圳,广东,深圳市优必选科技股份有限公司,深圳市优必选科技股份有限公司,2021-07-30,B62D57/032,..带交替升起或顺序升起的支承座或支腿；带交替或顺序升起的支腿或滑道（B62D57/024优先）[2006.01],CN113548129A | CN115593535A | CN115593535B | CN117002648A | CN117002648B | CN118494639A | CN119459930A | CN119459930B | EP4703098A1,-,8,5,2,实用新型,-,-,授权 | 一案双申,南山区,2031-07-30,中国,本实用新型涉及人形机器人领域，提供一种腿部结构及人形机器人。腿部结构包括大腿结构件、脚板结构件、两个踝关节驱动器、小腿结构件和两个连动组件。两个踝关节驱动器对称地固定在大腿结构件的内侧，每个踝关节驱动器均具有朝外的输出端和朝内的尾端；小腿结构件的一端转动连接于两踝关节驱动器的尾端，小腿结构件的另一端万向转动连接于脚板结构件；两个连动组件分别活动连接于两踝关节驱动器的输出端与脚板结构件之间。腿部结构将参与构成踝关节的两个踝关节驱动器对称地固定在靠近膝关节而远离踝侧的大腿结构件内，基于此，可有效提高腿部结构的质心，有效降低腿部结构的转动惯量，可相应降低腿部结构的各关节部件的驱动器的力矩需求。,腿部结构及人形机器人,仅以具有除车轮或履带以外的其他推进装置或接地装置为特征的车辆，或者以车轮或履带加上具有除车轮或履带以外的其他推进装置为特征的车辆（雪橇入B62B；机动雪橇入B62M）[2006.01],B62D57,B62D,机动车；挂车（农用机械或机具的转向机构或在所要求轨道上的引导装置入A01B69/00；车轮，脚轮，车轴，提高车轮的附着力入B60B；车用轮胎，轮胎充气或轮胎的更换入B60C；拖有挂车的牵引车或类似车辆之间的连接入B60D；轨道和道路两用车辆，两栖或可转换的车辆入B60F；悬架装置的配置入B60G；加热、冷却、通风或其他空气处理设备入B60H；车窗，挡风玻璃，非固定车顶，门或类似装置，车辆不用时的护套入B60J；动力装置的布置，辅助驱动装置，传动装置，控制机构，仪表或仪表板入B60K；电动车辆的电力装备或动力装置入B60L；电动车辆的电源线入B60M；其他类目不包含的乘客用设备入B60N；适用于货运或装载特殊货物或物体的入B60P；用于一般车辆信号或照明装置的布置，其安装或支承或者其电路入B60Q；其他类目不包含的车辆，车辆配件或车辆部件入B60R；其他类目不包含的保养，清洗，修理，支承，举升或调试入B60S；制动器布置，制动控制系统或其部件入B60T；气垫车入B60V；摩托车及其所用附件入B62J，B62K；车辆试验入G01M）,2021-12-28
CN121468489A,一种仿人灵巧手及采用该仿人灵巧手的人形机器人,本发明公开了一种仿人灵巧手及采用该仿人灵巧手的人形机器人。一种仿人灵巧手，手臂组件包括手指驱动机构和手腕驱动机构，手指驱动机构包括至少两节驱动组件，靠近手部组件的一节驱动组件的直径大于相对远离手部组件的一节驱动组件的直径；每节驱动组件均设有至少一层设有至少一个手指驱动电机的手指驱动电机层；所有手指驱动电机的输出轴均朝外设置，且在垂直于手臂组件长度方向的平面内的投影均不重合。还公开了人形机器人，采用上述任一方案的仿人灵巧手。本发明的优点是：避免了多根牵引绳在狭小空间内因路径交叉、接触而导致的相互摩擦、缠绕甚至切割，使得机器人手臂的整体形态更趋近于真实人体手臂的粗细。,上海,上海,镜识科技(上海)有限公司,镜识科技(上海)有限公司,2025-10-28,B25J9/10,. 以机械手元件定位装置为特征的[2006.01],-,-,0,0,1,发明申请,-,-,实质审查,浦东新区,-,中国,本发明公开了一种仿人灵巧手及采用该仿人灵巧手的人形机器人。一种仿人灵巧手，手臂组件包括手指驱动机构和手腕驱动机构，手指驱动机构包括至少两节驱动组件，靠近手部组件的一节驱动组件的直径大于相对远离手部组件的一节驱动组件的直径；每节驱动组件均设有至少一层设有至少一个手指驱动电机的手指驱动电机层；所有手指驱动电机的输出轴均朝外设置，且在垂直于手臂组件长度方向的平面内的投影均不重合。还公开了人形机器人，采用上述任一方案的仿人灵巧手。本发明的优点是：避免了多根牵引绳在狭小空间内因路径交叉、接触而导致的相互摩擦、缠绕甚至切割，使得机器人手臂的整体形态更趋近于真实人体手臂的粗细。,一种仿人灵巧手及采用该仿人灵巧手的人形机器人,程序控制机械手[2006.01],B25J9,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],-
CN121124445A,一种机器人用电机、机械腿及人形机器人,本发明公开了一种机器人用电机、机械腿及人形机器人。一种机器人用电机，包括电机本体和齿轮箱，电机本体的端部和齿轮箱的端部分别设有沿电机轴径向向外凸出的第一凸台和第二凸台，第一凸台与第二凸台对接；还包括连接件，连接件上设有连接槽，第一凸台与第二凸台共同插入连接槽中，连接槽的槽壁与第一凸台和第二凸台相配合，以限制电机本体与齿轮箱在对接方向上的相对位移；连接件与电机本体和齿轮箱连接。还公开了一种机械腿，采用上述任一方案的电机。还公开了一种人形机器人，采用上述机械腿。优点是：使得电机本体与齿轮箱的连接法兰结构变得非常轻薄紧凑，实现了整个驱动单元在保证超高可靠性前提下的尺寸最小化和重量最轻化。,上海,上海,镜识科技(上海)有限公司,镜识科技(上海)有限公司,2025-10-10,H02K7/116,.. 带有齿轮传动箱的[2006.01],-,-,0,0,1,发明申请,-,-,实质审查,浦东新区,-,中国,本发明公开了一种机器人用电机、机械腿及人形机器人。一种机器人用电机，包括电机本体和齿轮箱，电机本体的端部和齿轮箱的端部分别设有沿电机轴径向向外凸出的第一凸台和第二凸台，第一凸台与第二凸台对接；还包括连接件，连接件上设有连接槽，第一凸台与第二凸台共同插入连接槽中，连接槽的槽壁与第一凸台和第二凸台相配合，以限制电机本体与齿轮箱在对接方向上的相对位移；连接件与电机本体和齿轮箱连接。还公开了一种机械腿，采用上述任一方案的电机。还公开了一种人形机器人，采用上述机械腿。优点是：使得电机本体与齿轮箱的连接法兰结构变得非常轻薄紧凑，实现了整个驱动单元在保证超高可靠性前提下的尺寸最小化和重量最轻化。,一种机器人用电机、机械腿及人形机器人,与电机结构相关的机械能处理装置，例如与机械驱动电机或辅助电机结构相关的装置[2006.01],H02K7,H02K,电动机（电动继电器入H01H53/00；将直流或交流输入电能转换为脉冲输出电能入H02M9/00）,-
CN224012334U,一种关节动力模组及人形机器人,本申请公开了一种关节动力模组及人形机器人，通过紧凑化和一体化设计，可有效提高机器人的空间利用率以及机器人的动态性能。本申请包括：所述谐波减速器钢轮组件包括谐波减速器钢轮和交叉滚子轴承，所述谐波减速器钢轮和所述交叉滚子轴承为一体成型设置；所述关节外壳中安装有所述电机组件，所述电机组件设置在所述谐波减速器柔轮内部，所述电机组件与所述波发生器连接，所述波发生器与所述谐波减速器柔轮连接，所述谐波减速器柔轮与所述谐波减速器钢轮组件连接，所述谐波减速器钢轮组件与所述输出法兰连接；所述谐波减速器钢轮组件与所述输出法兰之间设置有放置区域，所述放置区域中放置有所述高速端编码器和所述低速端编码器。,深圳,广东,深圳众擎机器人科技股份有限公司,深圳市众擎机器人科技有限公司,2025-04-24,B25J9/10,. 以机械手元件定位装置为特征的[2006.01],-,-,0,0,2,实用新型,-,-,授权 | 一案双申,南山区,2035-04-24,中国,本申请公开了一种关节动力模组及人形机器人，通过紧凑化和一体化设计，可有效提高机器人的空间利用率以及机器人的动态性能。本申请包括：所述谐波减速器钢轮组件包括谐波减速器钢轮和交叉滚子轴承，所述谐波减速器钢轮和所述交叉滚子轴承为一体成型设置；所述关节外壳中安装有所述电机组件，所述电机组件设置在所述谐波减速器柔轮内部，所述电机组件与所述波发生器连接，所述波发生器与所述谐波减速器柔轮连接，所述谐波减速器柔轮与所述谐波减速器钢轮组件连接，所述谐波减速器钢轮组件与所述输出法兰连接；所述谐波减速器钢轮组件与所述输出法兰之间设置有放置区域，所述放置区域中放置有所述高速端编码器和所述低速端编码器。,一种关节动力模组及人形机器人,程序控制机械手[2006.01],B25J9,B25J,机械手；装有操纵装置的容器（单独采摘水果、蔬菜、啤酒花或类似作物的自动装置入A01D46/30；外科用的针头操纵器入A61B17/062；与滚轧机有关的机械手入B21B39/20；与锻压机有关的机械手入B21J13/10；夹持轮子或其部件的装置入B60B30/00；起重机入B66C；用于核反应堆中所用的燃料或其他材料的处理设备入G21C19/00；机械手与加有防辐射的小室或房间的组合结构入G21F7/06）〔5〕[2006.01],2026-03-20
CN119575806A,一种人形机器人单腿步态过渡动作设计及其控制方法,本发明提出了一种人形机器人单腿步态过渡动作设计及其控制方法，通过有限状态机的算法模块以及单腿步态过渡动作设计，能够有效解决双足机器人在步态过渡时的重心偏移与控制精度不足的问题。该方法显著提高了机器人在复杂环境下的步态控制能力，尤其是在单足支撑、单腿跳跃阶段，机器人能够稳定切换至相应的步态，减少倾斜和失衡的可能性。,北京,北京,北京松延动力科技集团股份有限公司,松延动力(北京)科技有限公司,2024-11-15,G05B13/04,.. 包括使用模型或模拟器的[2006.01],-,-,0,0,1,发明申请,-,-,实质审查,昌平区,-,中国,本发明提出了一种人形机器人单腿步态过渡动作设计及其控制方法，通过有限状态机的算法模块以及单腿步态过渡动作设计，能够有效解决双足机器人在步态过渡时的重心偏移与控制精度不足的问题。该方法显著提高了机器人在复杂环境下的步态控制能力，尤其是在单足支撑、单腿跳跃阶段，机器人能够稳定切换至相应的步态，减少倾斜和失衡的可能性。,一种人形机器人单腿步态过渡动作设计及其控制方法,自适应控制系统，即系统按照一些预定的准则自动调整自己使之具有最佳性能的系统（G05B19/00优先）[2006.01],G05B13,G05B,一般的控制或调节系统；这种系统的功能单元；用于这种系统或单元的监视或测试装置（用于控制或调节非电变量的系统G05D)（用于调节电或磁变量的系统G05F)（仅以机械特征为特征的控制装置或系统G05G)[2006.01],-
